name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-243 - 2020 - CUALTOS,243,2020,CUALTOS,Emérito,0,0,,0
311 Investigadores-244 - 2021 - CUALTOS,244,2021,CUALTOS,Emérito,0,0,,0
311 Investigadores-245 - 2022 - CUALTOS,245,2022,CUALTOS,Emérito,0,0,,0
311 Investigadores-246 - 2023 - CUALTOS,246,2023,CUALTOS,Emérito,0,0,,0
311 Investigadores-247 - 2018 - CUALTOS,247,2018,CUALTOS,SNCA,0,0,,0
311 Investigadores-248 - 2019 - CUALTOS,248,2019,CUALTOS,SNCA,0,0,,0
311 Investigadores-249 - 2020 - CUALTOS,249,2020,CUALTOS,SNCA,0,0,,0
311 Investigadores-250 - 2021 - CUALTOS,250,2021,CUALTOS,SNCA,0,0,,0
311 Investigadores-251 - 2022 - CUALTOS,251,2022,CUALTOS,SNCA,0,0,,0
311 Investigadores-252 - 2023 - CUALTOS,252,2023,CUALTOS,SNCA,0,0,,0
311 Investigadores-253 - 2018 - CUCIÉNEGA,253,2018,CUCIÉNEGA,Candidato,10,5,,15
311 Investigadores-254 - 2019 - CUCIÉNEGA,254,2019,CUCIÉNEGA,Candidato,13,7,,20
311 Investigadores-255 - 2020 - CUCIÉNEGA,255,2020,CUCIÉNEGA,Candidato,10,11,,21
311 Investigadores-256 - 2021 - CUCIÉNEGA,256,2021,CUCIÉNEGA,Candidato,10,11,,21
311 Investigadores-257 - 2022 - CUCIÉNEGA,257,2022,CUCIÉNEGA,Candidato,6,10,,16
311 Investigadores-258 - 2023 - CUCIÉNEGA,258,2023,CUCIÉNEGA,Candidato,4,14,,18
311 Investigadores-259 - 2018 - CUCIÉNEGA,259,2018,CUCIÉNEGA,Nivel I,15,9,,24
311 Investigadores-260 - 2019 - CUCIÉNEGA,260,2019,CUCIÉNEGA,Nivel I,20,8,,28
311 Investigadores-261 - 2020 - CUCIÉNEGA,261,2020,CUCIÉNEGA,Nivel I,21,10,,31
311 Investigadores-262 - 2021 - CUCIÉNEGA,262,2021,CUCIÉNEGA,Nivel I,22,10,,32
311 Investigadores-263 - 2022 - CUCIÉNEGA,263,2022,CUCIÉNEGA,Nivel I,28,14,,42
311 Investigadores-264 - 2023 - CUCIÉNEGA,264,2023,CUCIÉNEGA,Nivel I,35,16,,51
311 Investigadores-265 - 2018 - CUCIÉNEGA,265,2018,CUCIÉNEGA,Nivel II,2,0,,2
311 Investigadores-266 - 2019 - CUCIÉNEGA,266,2019,CUCIÉNEGA,Nivel II,3,1,,4
311 Investigadores-267 - 2020 - CUCIÉNEGA,267,2020,CUCIÉNEGA,Nivel II,3,1,,4
311 Investigadores-268 - 2021 - CUCIÉNEGA,268,2021,CUCIÉNEGA,Nivel II,3,1,,4
311 Investigadores-269 - 2022 - CUCIÉNEGA,269,2022,CUCIÉNEGA,Nivel II,3,1,,4
311 Investigadores-270 - 2023 - CUCIÉNEGA,270,2023,CUCIÉNEGA,Nivel II,2,2,,4
311 Investigadores-271 - 2018 - CUCIÉNEGA,271,2018,CUCIÉNEGA,Nivel III,1,0,,1
311 Investigadores-272 - 2019 - CUCIÉNEGA,272,2019,CUCIÉNEGA,Nivel III,1,0,,1
311 Investigadores-273 - 2020 - CUCIÉNEGA,273,2020,CUCIÉNEGA,Nivel III,1,0,,1
311 Investigadores-274 - 2021 - CUCIÉNEGA,274,2021,CUCIÉNEGA,Nivel III,1,0,,1
311 Investigadores-275 - 2022 - CUCIÉNEGA,275,2022,CUCIÉNEGA,Nivel III,1,0,,1
311 Investigadores-276 - 2023 - CUCIÉNEGA,276,2023,CUCIÉNEGA,Nivel III,1,0,,1
311 Investigadores-277 - 2018 - CUCIÉNEGA,277,2018,CUCIÉNEGA,Emérito,0,0,,0
311 Investigadores-278 - 2019 - CUCIÉNEGA,278,2019,CUCIÉNEGA,Emérito,0,0,,0
311 Investigadores-279 - 2020 - CUCIÉNEGA,279,2020,CUCIÉNEGA,Emérito,0,0,,0
311 Investigadores-280 - 2021 - CUCIÉNEGA,280,2021,CUCIÉNEGA,Emérito,0,0,,0
311 Investigadores-281 - 2022 - CUCIÉNEGA,281,2022,CUCIÉNEGA,Emérito,0,0,,0
311 Investigadores-282 - 2023 - CUCIÉNEGA,282,2023,CUCIÉNEGA,Emérito,0,0,,0
311 Investigadores-283 - 2018 - CUCIÉNEGA,283,2018,CUCIÉNEGA,SNCA,0,0,,0
311 Investigadores-284 - 2019 - CUCIÉNEGA,284,2019,CUCIÉNEGA,SNCA,0,0,,0
311 Investigadores-285 - 2020 - CUCIÉNEGA,285,2020,CUCIÉNEGA,SNCA,0,0,,0
311 Investigadores-286 - 2021 - CUCIÉNEGA,286,2021,CUCIÉNEGA,SNCA,0,0,,0
311 Investigadores-287 - 2022 - CUCIÉNEGA,287,2022,CUCIÉNEGA,SNCA,0,0,,0
311 Investigadores-288 - 2023 - CUCIÉNEGA,288,2023,CUCIÉNEGA,SNCA,0,0,,0
311 Investigadores-289 - 2018 - CUSUR,289,2018,CUSUR,Candidato,2,6,,8
311 Investigadores-290 - 2019 - CUSUR,290,2019,CUSUR,Candidato,3,6,,9
311 Investigadores-291 - 2020 - CUSUR,291,2020,CUSUR,Candidato,3,8,,11
311 Investigadores-292 - 2021 - CUSUR,292,2021,CUSUR,Candidato,3,8,,11
311 Investigadores-293 - 2022 - CUSUR,293,2022,CUSUR,Candidato,5,9,,14
