name,row,anio,entidad_universitaria,programa_educativo_vigente,total
422 PE que requieren PP-1021 - 2019 - CUCOSTA,1021,2019,CUCOSTA,Licenciatura en Diseño para  la Comunicación Gráfica,1
422 PE que requieren PP-1022 - 2019 - CUCOSTA,1022,2019,CUCOSTA,Licenciatura en Enfermería,1
422 PE que requieren PP-1023 - 2019 - CUCOSTA,1023,2019,CUCOSTA,Licenciatura en Ingeniería Civil ,1
422 PE que requieren PP-1024 - 2019 - CUCOSTA,1024,2019,CUCOSTA,Licenciatura en Ingeniería en Comunicación Multimedia,1
422 PE que requieren PP-1025 - 2019 - CUCOSTA,1025,2019,CUCOSTA,Licenciatura en Ingeniería en Telemática,1
422 PE que requieren PP-1026 - 2019 - CUCOSTA,1026,2019,CUCOSTA,Licenciatura en Ingeniería en Videojuegos,1
422 PE que requieren PP-1027 - 2019 - CUCOSTA,1027,2019,CUCOSTA,Licenciatura en Nutrición ,1
422 PE que requieren PP-1028 - 2019 - CUCOSTA,1028,2019,CUCOSTA,Licenciatura en Psicología,1
422 PE que requieren PP-1029 - 2019 - CUCOSTA,1029,2019,CUCOSTA,Licenciatura en Turismo,1
422 PE que requieren PP-1030 - 2019 - CUCOSTA,1030,2019,CUCOSTA,Médico Cirujano y Partero,1
422 PE que requieren PP-1031 - 2019 - CUCOSTASUR,1031,2019,CUCOSTASUR,Abogado,1
422 PE que requieren PP-1032 - 2019 - CUCOSTASUR,1032,2019,CUCOSTASUR,Ingeniería de Procesos y Comercio Internacional,1
422 PE que requieren PP-1033 - 2019 - CUCOSTASUR,1033,2019,CUCOSTASUR,Ingeniería en Obras y Servicios,1
422 PE que requieren PP-1034 - 2019 - CUCOSTASUR,1034,2019,CUCOSTASUR,Ingeniería en Recursos Naturales y Agropecuarios,1
422 PE que requieren PP-1035 - 2019 - CUCOSTASUR,1035,2019,CUCOSTASUR,Ingeniería Mecatrónica,1
