orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
154,SEMS,14MMS0620R,14MMS0766L,Módulo Contla,Módulo Contla,Módulo,Regional,Región Sur,Tamazula de Gordiano,
155,SEMS,14MMS0620R,14MMS0689X,Módulo Quitupan,Módulo Quitupan,Módulo,Regional,Región Sureste,Quitupan,
156,SEMS,14MMS0620R,14MMS0770Y,Módulo Valle de Juárez,Módulo Valle de Juárez,Módulo,Regional,Región Sureste,Valle de Juárez,
157,SEMS,14MMS0620R,14MMS0690M,Módulo Lázaro Cárdenas,Módulo Lázaro Cárdenas,Módulo,Regional,Región Sureste,Quitupan,
158,SEMS,14MMS0620R,14MMS0740D,Módulo Vista Hermosa,Módulo Vista Hermosa,Módulo,Regional,Región Sur,Tamazula de Gordiano,
159,SEMS,,14MMS0656F,Escuela Preparatoria Regional de Tecolotlán,EPR de Tecolotlán,Escuela,Regional,Región Sierra de Amula,Tecolotlán,
160,SEMS,14MMS0656F,14MMS0768J,Módulo Chiquilistlán,Módulo Chiquilistlán,Módulo,Regional,Región Sierra de Amula,Chiquilistlán,
161,SEMS,14MMS0656F,14MMS0711I,Módulo Juchitlán,Módulo Juchitlán,Módulo,Regional,Región Sierra de Amula,Juchitlán,
162,SEMS,14MMS0656F,14MMS0730X,Módulo Soyatlán del Oro,Módulo Soyatlán del Oro,Módulo,Regional,Región Sierra de Amula,Atengo,
163,SEMS,14MMS0656F,14MMS0670Z,Módulo Tenamaxtlán,Módulo Tenamaxtlán,Módulo,Regional,Región Sierra de Amula,Tenamaxtlán,
