name,row,ciclo,clave_plantel,cve_programa,modalidad,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
93 2019-2020 14USU0110G 5095400006,93,2019-2020,14USU0110G,5095400006,Escolarizada,35,52,,87,,,,0,,,,0
94 2019-2020 14USU0120N 5031400003,94,2019-2020,14USU0120N,5031400003,Escolarizada,13,8,,21,,,,0,,,,0
95 2019-2020 14USU0010H 5032100027,95,2019-2020,14USU0010H,5032100027,Escolarizada,2,8,,10,,,,0,,,,0
96 2019-2020 14USU0100Z 5033100003,96,2019-2020,14USU0100Z,5033100003,Escolarizada,143,145,,288,,,,1,,,,0
97 2019-2020 14USU0100Z 5052300015,97,2019-2020,14USU0100Z,5052300015,Escolarizada,3,2,,5,,,,0,,,,0
98 2019-2020 14USU0100Z 5012603011,98,2019-2020,14USU0100Z,5012603011,Escolarizada,1,0,,1,,,,0,,,,0
99 2019-2020 14USU0100Z 5012603027,99,2019-2020,14USU0100Z,5012603027,Escolarizada,3,6,,9,,,,0,,,,0
100 2019-2020 14USU0100Z 5022300022,100,2019-2020,14USU0100Z,5022300022,Escolarizada,15,16,,31,,,,1,,,,0
101 2019-2020 14USU0100Z 5022500008,101,2019-2020,14USU0100Z,5022500008,Escolarizada,10,4,,14,,,,0,,,,0
102 2019-2020 14USU0100Z 5022600002,102,2019-2020,14USU0100Z,5022600002,Escolarizada,10,5,,15,,,,0,,,,0
103 2019-2020 14USU0100Z 5031200004,103,2019-2020,14USU0100Z,5031200004,Escolarizada,3,7,,10,,,,1,,,,0
104 2019-2020 14USU0110G 5052100005,104,2019-2020,14USU0110G,5052100005,Escolarizada,12,8,,20,,,,0,,,,0
105 2019-2020 14USU0110G 5052200007,105,2019-2020,14USU0110G,5052200007,Escolarizada,9,5,,14,,,,0,,,,0
106 2019-2020 14USU0110G 5053100004,106,2019-2020,14USU0110G,5053100004,Escolarizada,7,10,,17,,,,0,,,,0
107 2019-2020 14USU0110G 5061000002,107,2019-2020,14USU0110G,5061000002,Escolarizada,48,13,,61,,,,0,,,,0
108 2019-2020 14USU0110G 5062100009,108,2019-2020,14USU0110G,5062100009,Escolarizada,55,8,,63,,,,0,,,,0
109 2019-2020 14USU0110G 5062200055,109,2019-2020,14USU0110G,5062200055,Escolarizada,36,10,,46,,,,0,,,,0
