name,row,anio,entidad_universitaria,programa_educativo
422 PE que requieren PP-994 - 2021 - CUTONALÁ,994,2021,CUTONALÁ,Licenciatura en Ciencias Forenses
422 PE que requieren PP-995 - 2021 - CUTONALÁ,995,2021,CUTONALÁ,Licenciatura en Contaduría Publica
422 PE que requieren PP-996 - 2021 - CUTONALÁ,996,2021,CUTONALÁ,Licenciatura en Nutrición
422 PE que requieren PP-997 - 2021 - CUTONALÁ,997,2021,CUTONALÁ,Licenciatura en Salud Publica
422 PE que requieren PP-998 - 2021 - CUTONALÁ,998,2021,CUTONALÁ,Médico Cirujano y Partero
422 PE que requieren PP-999 - 2021 - CUVALLES,999,2021,CUVALLES,Abogado
422 PE que requieren PP-1000 - 2021 - CUVALLES,1000,2021,CUVALLES,Ingeniería en Electrónica y Computación
422 PE que requieren PP-1001 - 2021 - CUVALLES,1001,2021,CUVALLES,Licenciatura en Administración
422 PE que requieren PP-1002 - 2021 - CUVALLES,1002,2021,CUVALLES,Licenciatura en Agronegocios
422 PE que requieren PP-1003 - 2021 - CUVALLES,1003,2021,CUVALLES,Licenciatura en Contaduría Pública
422 PE que requieren PP-1004 - 2021 - CUVALLES,1004,2021,CUVALLES,Licenciatura en Ingeniería Mecatrónica
